record_id,ceremony_year,ceremony_number,film_title,film_title_original,film_language,film_year,category,category_normalized,award_type,director,awardee,production_company,cash_prize,imdb_id,imdb_rating,imdb_votes,runtime_minutes,genres,box_office_worldwide,release_date,omdb_box_office,omdb_released,omdb_poster_url,plot_summary,is_sequel,is_remake,crew_size,source_url,scraped_at,data_source,is_valid,validation_warnings,validation_errors
2023|Best Child Artist|Malikappuram,2023,70,Malikappuram,,Malayalam,2022,Best Child Artist,best-child-artist,Silver Lotus,Vishnu Sasi Shankar,Sreepath,,"₹2,00,000",tt22037066,7.4,"5,759",121,Action|Adventure|Drama,,30 Dec 2022,,30 Dec 2022,https://m.media-amazon.com/images/M/MV5BNWVhYTAyYzQtMWMzNC00ODEwLWJhMjItNDRiYzA4ZTk5ZGY3XkEyXkFqcGc@._V1_SX300.jpg,An intense desire of Kallu an 8 year old girl from Panchalimedu village to visit Sabarimala.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
"2023|Best Male Playback Singer|Brahmāstra: Part One – Shiva (Song: "" Kesariya "")",2023,70,"Brahmāstra: Part One – Shiva (Song: "" Kesariya "")",,Hindi,2022,Best Male Playback Singer,best-male-playback-singer,Silver Lotus,,Arijit Singh,,"₹2,00,000",tt6277462,5.6,,167,Action|Adventure|Fantasy,Gross worldwide,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
"2023|Best Female Playback Singer|Saudi Vellakka (Song: ""Chaayum Veyil"")",2023,70,"Saudi Vellakka (Song: ""Chaayum Veyil"")",,Malayalam,2022,Best Female Playback Singer,best-female-playback-singer,Silver Lotus,,Bombay Jayashri,,"₹2,00,000",,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Cinematography|Ponniyin Selvan: I,2023,70,Ponniyin Selvan: I,,Tamil,2022,Best Cinematography,best-cinematography,Silver Lotus,Mani Ratnam,Ravi Varman,,"₹2,00,000",tt10701074,7.5,,167,Action|Drama,Gross worldwide,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Screenplay • Screenplay Writer (Ori|Aattam,2023,70,Aattam,,Malayalam,2022,Best Screenplay • Screenplay Writer (Original),best-screenplay-screenplay-writer-original,Silver Lotus,Anand Ekarshi,Anand Ekarshi,,"₹2,00,000",tt11530982,4.1,814,147,Action|Drama|Thriller,,05 Aug 2022,,05 Aug 2022,https://m.media-amazon.com/images/M/MV5BOTQ2NTE4MTctNjc5MC00NWE4LWEzNGItOGI1OGZmY2JhMTAxXkEyXkFqcGc@._V1_SX300.jpg,Two disparate men meeting by accident and the friendship they develop.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Screenplay • Dialogues|Gulmohar,2023,70,Gulmohar,,Hindi,2022,Best Screenplay • Dialogues,best-screenplay-dialogues,Silver Lotus,Rahul V. Chittella,Arpita Mukherjee Rahul V. Chittella,,"₹2,00,000 shared",tt18951176,7.6,"5,523",131,Drama|Family,,03 Mar 2023,,03 Mar 2023,https://m.media-amazon.com/images/M/MV5BNzJjNjQ0YmYtYTdmMy00OGVjLWFlOTktNGM4ZTY1OWRkMGUwXkEyXkFqcGc@._V1_SX300.jpg,Follows the final four days of the Batra family living in their 31-year-old family home as they move to a new city.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Sound Design|Ponniyin Selvan: I,2023,70,Ponniyin Selvan: I,,Tamil,2022,Best Sound Design,best-sound-design,Silver Lotus,Mani Ratnam,Anand Krishnamoorthi,,"₹2,00,000",tt10701074,7.5,,167,Action|Drama,Gross worldwide,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Editing|Aattam,2023,70,Aattam,,Malayalam,2022,Best Editing,best-editing,Silver Lotus,Anand Ekarshi,Mahesh Bhuvanend,,"₹2,00,000",tt11530982,4.1,814,147,Action|Drama|Thriller,,05 Aug 2022,,05 Aug 2022,https://m.media-amazon.com/images/M/MV5BOTQ2NTE4MTctNjc5MC00NWE4LWEzNGItOGI1OGZmY2JhMTAxXkEyXkFqcGc@._V1_SX300.jpg,Two disparate men meeting by accident and the friendship they develop.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Production Design|Aparajito,2023,70,Aparajito,,Bengali,2022,Best Production Design,best-production-design,Silver Lotus,Anik Datta,Ananda Addhya,,"₹2,00,000",tt15964372,8.8,"5,345",138,Biography|Drama|Family,,13 May 2022,,13 May 2022,https://m.media-amazon.com/images/M/MV5BOWI4YzRkNzYtYTJiMy00MjhjLWFlODgtYWM4NmJlMDZkMzJhXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg,This film is a tribute to master filmmaker Satyajit Ray in his birth centenary and it's inspired by the story behind the making of Ray's iconic film 'Pather Panchali'.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Costume Design|Kutch Express,2023,70,Kutch Express,,Gujarati,2022,Best Costume Design,best-costume-design,Silver Lotus,Viral Shah,Niki Joshi,,"₹2,00,000",tt23664710,7.2,"4,744",134,Drama|Family,,06 Jan 2023,,06 Jan 2023,https://m.media-amazon.com/images/M/MV5BZTg5Y2FhMzctZGY3NS00ZjZmLWEzOTktOWJlNTM3NTU1ZjliXkEyXkFqcGc@._V1_SX300.jpg,Revolves around how the journey of a thousand miles begins with a single step and explores love and life.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Make-up|Aparajito,2023,70,Aparajito,,Bengali,2022,Best Make-up,best-make-up,Silver Lotus,Anik Datta,Somnath Kundu,,"₹2,00,000",tt15964372,8.8,"5,345",138,Biography|Drama|Family,,13 May 2022,,13 May 2022,https://m.media-amazon.com/images/M/MV5BOWI4YzRkNzYtYTJiMy00MjhjLWFlODgtYWM4NmJlMDZkMzJhXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg,This film is a tribute to master filmmaker Satyajit Ray in his birth centenary and it's inspired by the story behind the making of Ray's iconic film 'Pather Panchali'.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Music Direction • Songs|Brahmāstra: Part One – Shiva,2023,70,Brahmāstra: Part One – Shiva,,Hindi,2022,Best Music Direction • Songs,best-music-direction-songs,Silver Lotus,Ayan Mukerji,Pritam,,"₹2,00,000",tt6277462,5.6,"114,581",167,Action|Adventure|Fantasy,"$7,839,108",09 Sep 2022,"$7,839,108",09 Sep 2022,https://m.media-amazon.com/images/M/MV5BMTlmMTAyOGEtNTM2My00M2IwLWE0NDMtNzhhOTQ0Mzc5YmIyXkEyXkFqcGc@._V1_SX300.jpg,"A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Music Direction • Background Music|Ponniyin Selvan: I,2023,70,Ponniyin Selvan: I,,Tamil,2022,Best Music Direction • Background Music,best-music-direction-background-music,Silver Lotus,Mani Ratnam,A. R. Rahman,,"₹2,00,000",tt10701074,7.5,,167,Action|Drama,Gross worldwide,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
"2023|Best Lyrics|Fouja (Song: ""Salaami"")",2023,70,"Fouja (Song: ""Salaami"")",,Haryanvi,2022,Best Lyrics,best-lyrics,Silver Lotus,,Naushad Sadar Khan,,"₹2,00,000",,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
"2023|Best Choreography|Thiruchitrambalam (Song: ""Megham Karukkatha"")",2023,70,"Thiruchitrambalam (Song: ""Megham Karukkatha"")",,Tamil,2022,Best Choreography,best-choreography,Silver Lotus,Mithran Jawahar,Jani Master Sathish Krishnan,,"₹2,00,000 shared",,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Action Direction|KGF: Chapter 2,2023,70,KGF: Chapter 2,,Kannada,2022,Best Action Direction,best-action-direction,Silver Lotus,Prashanth Neel,Anbariv,,"₹2,00,000",tt10698680,8.2,,166,Action|Crime|Drama,Gross worldwide,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Producer|Director,2023,70,Director,,Tamil,2022,Producer,producer,Silver Lotus,"Karthik Krishna, Kiran Ponnada",,,,tt14787448,,908,121,Drama|Horror|Thriller,,18 Mar 2022,,18 Mar 2022,https://m.media-amazon.com/images/M/MV5BNzIxNWRkODUtMmVlOS00NzhjLWIyZjAtMTJlYmRkNzhiN2Q2XkEyXkFqcGdeQXVyOTc2MTgwNjY@._V1_SX300.jpg,A film director meets with an accident and his life takes a major turn. What happened before and after the accident and what he is seeing which no one can see.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Assamese Feature Film|Emuthi Puthi,2023,70,Emuthi Puthi,,Hindi,2022,Best Assamese Feature Film,best-assamese-feature-film,Silver Lotus,Kulanandini Mahanta,Metanormal Motion Pictures,,Kulanandini Mahanta,tt20220796,8.9,68,105,Comedy|Drama,,17 Jun 2022,,17 Jun 2022,https://m.media-amazon.com/images/M/MV5BYzkyMDNmNjctMTdjNy00ZmRiLTkxYWMtOTFiNDYxZTRlZjY1XkEyXkFqcGdeQXVyMTUyODI1NTk2._V1_SX300.jpg,A frustrated 19-year-old escapes her controlling mum by going on a light-hearted road trip across Assam with her quirky grandmother. In Assamese/subs.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Bengali Feature Film|Kaberi Antardhan,2023,70,Kaberi Antardhan,,Bengali,2022,Best Bengali Feature Film,best-bengali-feature-film,Silver Lotus,Kaushik Ganguly,Surinder Films,,Kaushik Ganguly,tt13748064,6.1,142,140,Drama,,20 Jan 2023,,20 Jan 2023,https://m.media-amazon.com/images/M/MV5BMmI0YjEwNWYtMjljNy00YzEwLWFhYjctMTQ5MmU3ZTA0N2YwXkEyXkFqcGdeQXVyMTA0OTQwODMw._V1_SX300.jpg,"Arghya Sen who takes Mrinmoy's son Amartya's art classes, visits their house when the mystery unfolds. On his arrival, he learns that not only has Mrinmoy been killed, but Kaberi Bhattacharya, Mrinmoy's beautiful sister, is also m...",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Hindi Feature Film|Gulmohar,2023,70,Gulmohar,,Hindi,2022,Best Hindi Feature Film,best-hindi-feature-film,Silver Lotus,Rahul V. Chittella,Star India,,Rahul V. Chittella,tt18951176,7.6,"5,523",131,Drama|Family,,03 Mar 2023,,03 Mar 2023,https://m.media-amazon.com/images/M/MV5BNzJjNjQ0YmYtYTdmMy00OGVjLWFlOTktNGM4ZTY1OWRkMGUwXkEyXkFqcGc@._V1_SX300.jpg,Follows the final four days of the Batra family living in their 31-year-old family home as they move to a new city.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Kannada Feature Film|KGF: Chapter 2,2023,70,KGF: Chapter 2,,Hindi,2022,Best Kannada Feature Film,best-kannada-feature-film,Silver Lotus,Prashanth Neel,Hombale Films,,Prashanth Neel,tt10698680,8.2,,166,Action|Crime|Drama,Gross worldwide,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Malayalam Feature Film|Saudi Vellakka,2023,70,Saudi Vellakka,,Malayalam,2022,Best Malayalam Feature Film,best-malayalam-feature-film,Silver Lotus,Tharun Moorthy,Urvasi Theatres,,Tharun Moorthy,tt15422244,8.0,"2,619",137,Drama,,02 Dec 2022,,02 Dec 2022,https://m.media-amazon.com/images/M/MV5BYTdlZTdmNmMtMWU1MC00YTM4LTg2ZTctOThmNGRhNTZhNWJmXkEyXkFqcGc@._V1_SX300.jpg,"Abhilash Sasidharan receives a summons warrant by the court for a long pending case. Desperate to find out the truth, he finds the real issue where a small conflict snowballed into a bigger one that changes the lives of everyone i...",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Marathi Feature Film|Vaalvi,2023,70,Vaalvi,,Marathi,2022,Best Marathi Feature Film,best-marathi-feature-film,Silver Lotus,Paresh Mokashi,Mayasabha Karamanuk Mandali Zee Entertainment Enterprises,,Paresh Mokashi,tt24516518,8.3,"2,126",106,Comedy|Drama|Thriller,,13 Jan 2023,,13 Jan 2023,https://m.media-amazon.com/images/M/MV5BZTQ0Mzg0YmItMGFjZi00ZjczLWI0YTgtMDk4ZjhhMTM1YWJhXkEyXkFqcGc@._V1_SX300.jpg,"Aniket and Avani, a couple, decide to end their lives together. A foolproof plan is made, but by Aniket and his girlfriend Devika. So, is a suicide being executed or a murder being planned?",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
